,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
1567,ENCBS504WVV,,,,,,ENCSR052AWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,ENCBS505QSC,,,,,,ENCSR724QTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,ENCBS506MMH,,,,ENCSR291YNH,,,,,,,,,,,,,,,,,,ENCSR681RQP,ENCSR667HPT,ENCSR181DTX,,,,ENCSR836FLX,,,,,,,,,,,,,,,,,,,,,,
1570,ENCBS507IRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR314WYC,,,,,,,,,,,,,,,,,,,,,,
1571,ENCBS507OBM,,,,,,ENCSR622HTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,ENCBS507RPJ,,,,,,ENCSR178JBL,,,,,,,,,,,,,,,,ENCSR612BWE,ENCSR186QKH,ENCSR943JOF,,ENCSR449PYI,,ENCSR747VED,,,,,,,ENCSR035QNZ,,,,,,,,,,,,,,,
1573,ENCBS507ZTM,,,,,,ENCSR232FAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,ENCBS508IUN,,,,,,,,,,,,,,,,,,,,,,ENCSR783SNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,ENCBS509DXX,,,,,,ENCSR173YSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,ENCBS509ENC,,,,,,ENCSR000EJJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,ENCBS509GKH,,,,,,ENCSR410MFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,ENCBS509GVT,,,,,,ENCSR163GMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,ENCBS510ENC,,,,,,ENCSR000EJL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580,ENCBS510ZRZ,ENCSR233HSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,ENCBS511RRL,,,,ENCSR343RJH,,,,,,,,,,,,,,,,,,ENCSR426VHO,ENCSR506DCR,ENCSR407UEE,,ENCSR928BGP,,ENCSR556QXD,,,,,,,ENCSR091IRL,,,,,,,,,,,,,,,
1582,ENCBS511SOC,,,,,,ENCSR582IPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,ENCBS511YCF,,,,ENCSR000DWE,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWD,,,,,,,,,,,,,,,,,,,,,,
1584,ENCBS512AAA,,,,,,ENCSR000FDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR535VTR,
1585,ENCBS512EYJ,ENCSR133WJY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,ENCBS513AAA,,,,,,ENCSR000FDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR535VTR,
1587,ENCBS513AWH,,,,,,ENCSR188JLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588,ENCBS513BIK,,,,,,,,,,,,,,,,,,,,,,,,ENCSR925LJZ,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,ENCBS513BQE,,,,,,ENCSR840USW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,ENCBS513UEL,,,,,,ENCSR859KGQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,ENCBS514AAA,,,,,,ENCSR000FJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR164OCT,
1592,ENCBS514GJK,,,,,,ENCSR255STJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,ENCBS514YGQ,,,,,,ENCSR373BIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,ENCBS515AAA,,,,,,ENCSR000FJH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR164OCT,
1595,ENCBS515HSH,,,,,,ENCSR000ENN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,ENCBS515JRU,,,,,,ENCSR006IMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,ENCBS515RIZ,,,,ENCSR449SEF,,,,,,,,,,,,,,,,,,ENCSR792VLP,ENCSR604QMH,ENCSR488YXS,,ENCSR500QVK,,ENCSR315EZG,,,,,,,,,,,,,,,,,,,,,,
1598,ENCBS516AAA,,,,,,ENCSR000FFJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR568YRP,
1599,ENCBS516ACB,,,,,,ENCSR189YJQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,ENCBS516ANN,,,,,,ENCSR467MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,ENCBS516CJQ,,,,,,ENCSR357PMV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,ENCBS516MKG,,,,,,ENCSR639XWF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,ENCBS516UIT,,,,,,ENCSR928WMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,ENCBS516VWB,,,,,,ENCSR086PIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,ENCBS517AAA,,,,,,ENCSR000FFJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR568YRP,
1606,ENCBS517FUR,,,,,,ENCSR059LXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,ENCBS517PRL,ENCSR238VHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,ENCBS517YQG,,,,,,ENCSR083FBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,ENCBS517ZWK,ENCSR899YEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,ENCBS518AAA,,,,,,ENCSR000FEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR669KQU,
1611,ENCBS518DQO,,,,,,ENCSR515PDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,ENCBS518LEK,,,,,,ENCSR512CWR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,ENCBS518YBY,,,,,,ENCSR903SKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,ENCBS519AAA,,,,,,ENCSR000FEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR669KQU,
1615,ENCBS520GRO,,,,,,ENCSR060BFU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,ENCBS520VFV,,,,ENCSR252QYR,,ENCSR364MFN,,ENCSR384LYW,ENCSR883XRM,,,,,,,,,,,,,ENCSR507UDH,ENCSR637RLN,ENCSR034BEQ,,ENCSR689QUB,ENCSR220XCD,ENCSR442ZOI,,,ENCSR695HYL,ENCSR850ODD,,ENCSR484MFB,ENCSR758GMX,,,ENCSR289TGF,,,,,,,,,,,ENCSR908ZAS,
1617,ENCBS520XHP,,,,,,ENCSR690CVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,ENCBS521MUU,,,,,,ENCSR095GWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,ENCBS521OUH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR128KIH,,,,,,,,,,,,,,,
1620,ENCBS522TJW,,,,ENCSR505ZGX,,,,,,,,,,,,,,,,,,ENCSR597BWL,ENCSR748LUA,ENCSR225VCV,,ENCSR906YES,,ENCSR901BRV,,,,,,,ENCSR266EYO,,,,,,,,,,,,,,,
1621,ENCBS523NFL,,,,,,ENCSR458LIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,ENCBS524KBT,,,,ENCSR232OFD,,,,,,,,,,,,,,,,,,ENCSR668EVA,ENCSR459CKR,,,ENCSR817FGU,,ENCSR954TSY,,,,,,,ENCSR392WQN,,,,,,,,,,,,,,,
1623,ENCBS524MUK,,,,ENCSR568IVD,,,,,,,,,,,,,,,,,,ENCSR758KRK,ENCSR735VKO,ENCSR718LSM,,ENCSR912XAL,,ENCSR998QKF,,,,,,,ENCSR927PLE,,,,,,,,,,,,,,,
1624,ENCBS524VQE,,,,,,ENCSR239XNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,ENCBS525CSB,,,,,,ENCSR650FLQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626,ENCBS525GOT,,,,,,,,,,,,,,,,,,,,,,,ENCSR000AKQ,ENCSR000AKR,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,ENCBS525QOI,,,,,,ENCSR571CJM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1628,ENCBS526DGU,,,,,,ENCSR531AYV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,ENCBS526ENC,,,,,,ENCSR000EOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR828TEI,
1630,ENCBS527IGL,,,,,,ENCSR552XJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,ENCBS528BRE,,,,,,,,,,,,,,,,,,,,,,ENCSR506FPQ,ENCSR285PDU,ENCSR433GMU,,ENCSR452JBP,ENCSR477ATR,ENCSR393ZOI,,,,ENCSR037TSC,,,ENCSR039WOA,,,ENCSR980ZJN,,,,,,,,,,,,
1632,ENCBS529IEZ,,,,,,ENCSR747SEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,ENCBS529IOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000APD,,,,,,,,,,,,,,,,,,,
1634,ENCBS529UES,,,,,,ENCSR502NDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635,ENCBS530IZG,,,,,,,,,,,,,,,,,,,,,,ENCSR315IRO,ENCSR410GUN,ENCSR237OBF,,ENCSR919DBC,,ENCSR176ABZ,,,,ENCSR583ALI,,,ENCSR862SCU,,,,,,,,,,,,,,,
1636,ENCBS530UDH,,,,,,ENCSR019JDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,ENCBS530YXL,,,,ENCSR000DQN,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DQM,,,,,,,,,,,,,,,,,,,,,,
1638,ENCBS530ZPB,ENCSR095QNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,ENCBS531BXN,,,,,,ENCSR799MVH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,ENCBS531EDO,,,,,,ENCSR736VVP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1641,ENCBS531UOE,,,,,,ENCSR000ENV,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUQ,,,,,,,,,,,,,,,,,,,,,,
1642,ENCBS532CGG,,,,,,ENCSR768AWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,ENCBS532LWE,,,,,,,,,,ENCSR333LVY,,,,,,ENCSR741FIA,,,,ENCSR282SNG,,ENCSR876RGF,ENCSR792GCH,ENCSR324UNL,,ENCSR276HBK,ENCSR730POX,ENCSR043VGU,ENCSR047TJL,,ENCSR188GJE,ENCSR879TAS,,,ENCSR972SMV,,,,ENCSR554TZE,ENCSR367JIO,,,,,,,,,,
1644,ENCBS532PIT,,,,,,ENCSR000ENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,ENCBS532TUO,ENCSR344ZTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,ENCBS533FWX,,,,,,ENCSR999TSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,ENCBS533QPZ,,,,,,ENCSR653OVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,ENCBS534CBI,,,,,,ENCSR802ZYE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR357BYU,
1649,ENCBS534NMZ,,,,,,,,,ENCSR571IIS,,,ENCSR848DUN,,,,,,ENCSR057BTG,,ENCSR815LBP,,,,,ENCSR130EML,,,,ENCSR768FWX,,,,,,ENCSR883AQJ,,,ENCSR728SZE,ENCSR675FLJ,ENCSR891KGZ,ENCSR858BOF,,,,,,,,,
1650,ENCBS534SBH,,,,,,ENCSR219KTW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,ENCBS534XRZ,,,,,,ENCSR380TXB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,ENCBS535KBN,,,,,,ENCSR306BHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,ENCBS535PDY,,,,,,ENCSR933VOY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,ENCBS535XPM,,,,ENCSR585KBH,,,,,,,,,,,,,,,,,,ENCSR432DPY,,,,,,ENCSR588PZN,,,,,,,,,,,,,,,,,,,,,,
1655,ENCBS536DBJ,,,,,,ENCSR792ZXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,ENCBS536THV,,,,,,,,,,,,,,,,,,,,,,ENCSR981UJA,,ENCSR080QVO,,ENCSR489DUV,,ENCSR344TLI,,,,,,,ENCSR614JFD,,,,,,,,,,,,,,,
1657,ENCBS538BDR,,,,,,ENCSR670MKJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,ENCBS538FCD,,,,,,ENCSR009KWQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,ENCBS538MMT,,,,,,ENCSR354SDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,ENCBS538XRD,,,,,,ENCSR800KVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,ENCBS538XVG,,,,,,ENCSR849CYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,ENCBS538XZS,ENCSR356KRQ,,,ENCSR817HTJ,,,,,,,,,,,,,,,,,,ENCSR736ZEG,ENCSR621FNM,,,ENCSR487KVV,,,,,,,,,,,,,,,,,,,,,,,ENCSR034RPU,
1663,ENCBS539BEG,ENCSR409YCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,ENCBS539TFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR974EGY,,,,,,,,,,,,,,,
1665,ENCBS539WGT,,,,,,ENCSR595CSH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,ENCBS540NKD,,,,,,ENCSR323TXQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,ENCBS541DMP,,,,ENCSR145HBC,,,,,,,,,,,,,,,,,,ENCSR500YBS,ENCSR586DVD,ENCSR942UIL,,ENCSR497OVD,,ENCSR309UVT,,,,,,,ENCSR558AXI,,,,,,,,,,,,,,,
1668,ENCBS541VIM,,,,,,ENCSR649XRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,ENCBS542QFE,,,,,,ENCSR721DFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,ENCBS542QYP,,,,ENCSR805YLE,,,,,,,,,,,,,,,,,,ENCSR195JWZ,,ENCSR364YAY,,ENCSR238SWA,,ENCSR219QSM,,,,,,,ENCSR237GVU,,,,,,,,,,,,,,,
1671,ENCBS542RJS,,,,,,,,,,,,,,,,,,,,,,,ENCSR595FWR,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,ENCBS543OJU,,,,,,,,,,,,,,,,,,,,,,ENCSR015GFK,,ENCSR083MAZ,,,,ENCSR984KWT,,,,,,,ENCSR974OMC,,,,,,,,,,,,,,,
1673,ENCBS543YDE,,,,,,ENCSR940CXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,ENCBS544GDO,,,,,,ENCSR404TSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,ENCBS545JWM,,,,,,ENCSR913NYL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,ENCBS545WKJ,,,,,,ENCSR000EOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,ENCBS545YIS,ENCSR634WYX,,,,,,,,,,,,,,,,,,,,,ENCSR540KQC,,,,ENCSR682BFG,,ENCSR571HAY,,,,,,,,,,,,,,,,,,,,,,
1678,ENCBS545ZET,,,,,,ENCSR575VMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,ENCBS546ROL,,,,,,ENCSR627NIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,ENCBS546UCS,,,,,,ENCSR175IWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,ENCBS547ACC,,,,,,,,,,,,,,,,,,,,,,ENCSR783SNV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,ENCBS547CKT,,,,ENCSR230RQK,,,,,,,,,,,,,,,,,,ENCSR723RUM,ENCSR250CLO,,,,,ENCSR135AYC,,,,,,,,,,,,,,,,,,,,,,
1683,ENCBS547DHM,,,,,,ENCSR857AEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,ENCBS547QLC,,,,,,ENCSR895KTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,ENCBS548ULT,,,,,,ENCSR259GYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,ENCBS549JSH,,,,,,,,,,,,,,,,,,,,,,ENCSR405ESP,ENCSR181JFC,ENCSR942XCE,,ENCSR511GOF,,ENCSR234YIU,,,,,,,ENCSR992VZG,,,,,,,,,,,,,,,
1687,ENCBS549OUK,ENCSR459AYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,ENCBS549SAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR941YPY,,,,,,,,,,,,,,,,,,,,,,
1689,ENCBS550BVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DVU,,,,,,,,,,,,,,,,,,,,,,
1690,ENCBS550DMB,,,,,,ENCSR797FIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,ENCBS550GOJ,ENCSR611BQR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,ENCBS550GVG,ENCSR059IHA,,,,,,,,,,,,,,,,,,,,,ENCSR650OZF,,,,,,ENCSR075AVX,,,,,,,,,,,,,,,,,,,,,,
1693,ENCBS550MBO,,,,,,,,,,,,,,,,,,,,,,ENCSR334DRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,ENCBS550PQQ,,,,,,ENCSR499PZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,ENCBS551ZKL,,,,,,ENCSR000EOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,ENCBS552AXV,ENCSR261PWP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,ENCBS552BYU,,,,,,,,,,,,,,,,,,,,,,ENCSR726WVB,ENCSR374OSU,ENCSR313GUP,,ENCSR559CSJ,,ENCSR883QMZ,,,,,,,ENCSR568EZU,,,,,,,,,,,,,,,
1698,ENCBS552CFU,,,,ENCSR296JFK,,,,,,,,,,,,,,,,,,ENCSR932QRC,ENCSR165BJO,ENCSR696BIF,,ENCSR724MJX,,ENCSR135GZX,,,,,,,ENCSR428WBJ,,,,,,,,,,,,,,,
1699,ENCBS552CLR,,,,ENCSR372JWF,,,,,,,,,,,,,,,,,,ENCSR495HIT,ENCSR882ZTE,,,,,ENCSR335YEH,,,,,,,,,,,,,,,,,,,,,,
1700,ENCBS552HSQ,,,,ENCSR724YTA,,,,,,,,,,,,,,,,,,ENCSR555HJT,ENCSR391SNO,,,,,ENCSR141EDV,,,,,,,,,,,,,,,,,,,,,,
1701,ENCBS552KUZ,,,,,,,,,,,,,,,,,,,,,,ENCSR582UTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,ENCBS552VWT,,,,,,,,,,,,,,,,,,,,,,,ENCSR273IYV,ENCSR677EZB,,ENCSR037RJI,,ENCSR446ZCY,,,,ENCSR695DDA,,,ENCSR823BHO,,,,,,,,,,,,,,,
1703,ENCBS553ENC,,,,ENCSR000DUM,,ENCSR000ENR,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUK,,,,,,,,,,,,,,,,,,,,,,
1704,ENCBS554CVR,,,,,,,,,,,,,,,,,,,,,,,ENCSR217CEY,ENCSR083ZUY,,,,ENCSR168PQI,,,,ENCSR339PLH,,,ENCSR036AQX,,,,,,,,,,,,,,,
1705,ENCBS554MMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR807LJO,,,,,,,,,,,,,,,,,,,,,,
1706,ENCBS554XES,ENCSR608KJD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,ENCBS554ZGD,,,,ENCSR237BTA,,,,,,,,,,,,,,,,,,ENCSR299EQJ,ENCSR055JGU,,,,,ENCSR548QRE,,,,,,,,,,,,,,,,,,,,,,
1708,ENCBS555CAN,,,,ENCSR449SEF,,,,,,,,,,,,,,,,,,ENCSR792VLP,ENCSR604QMH,ENCSR488YXS,,ENCSR500QVK,,ENCSR315EZG,,,,,,,,,,,,,,,,,,,,,,
1709,ENCBS555FTZ,ENCSR299LSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,ENCBS555KUV,,,,,,,,,,,,,,,,,,,,,,ENCSR268ZCF,,ENCSR150YAU,,ENCSR812POE,,ENCSR900UIP,,,,,,,ENCSR682GOI,,,,,,,,,,,,,,,
1711,ENCBS556ENC,,,,,,ENCSR000EKJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,ENCBS556HGY,,,,,,,,,,,,,,,,,,,,,,,,ENCSR526PZM,,,,,,,,,,,ENCSR679CHH,,,,,,,,,,,,,,,
1713,ENCBS557ENC,,,,,,ENCSR000EKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,ENCBS558KIK,,,,,,,,,,,,,,,,,,,,,,ENCSR615HXA,ENCSR866UQO,ENCSR162MGR,,ENCSR482QXO,,ENCSR368YPC,,,,,,,ENCSR980XMX,,,,,,,,,,,,,,,
1715,ENCBS559ENC,,,,,,ENCSR000EIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,ENCBS559KYO,,,,ENCSR000DTL,,ENCSR000ENL,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTN,,,,,,,,,,,,,,,,,,,,,,
1717,ENCBS559NJN,,,,,,ENCSR000ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,ENCBS559VEE,,,,,,ENCSR290NGL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1719,ENCBS561ENC,,,,,,ENCSR000ELG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,ENCBS561VVI,ENCSR275LCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1721,ENCBS562DVH,,,,,,ENCSR576UAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR516BJM,
1722,ENCBS562NPI,,,,,,,,,,,,,,,,,,,,,,ENCSR842NGQ,,,,,,ENCSR662PLB,,,,,,,,,,,,,,,,,,,,,,
1723,ENCBS564BSW,,,,,,ENCSR332HAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1724,ENCBS564GVM,,,,,,,,,,,,,,,,,,,,,,ENCSR506FPQ,ENCSR285PDU,ENCSR433GMU,,ENCSR452JBP,ENCSR477ATR,ENCSR393ZOI,,,,ENCSR037TSC,,,ENCSR039WOA,,,ENCSR980ZJN,,,,,,,,,,,,
1725,ENCBS565KNL,,,,,,ENCSR552RKI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726,ENCBS565TBU,,,,,,ENCSR763XBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,ENCBS565TIR,ENCSR220ASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1728,ENCBS566FDC,,,,,,ENCSR414ZUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,ENCBS566MSX,,,,,,ENCSR560UTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
