,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
108,ENCBS031YPO,,,,,,,,,,,,,,,,,,,,,,,ENCSR566VBK,ENCSR559RGT,,ENCSR032FUX,,ENCSR294PQF,,,,ENCSR902OPY,,,ENCSR568CDB,,,,,,,,,,,,,,,
109,ENCBS032BLA,,,,,,ENCSR000ENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ENCBS032QTQ,ENCSR452OSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,ENCBS032SIL,,,,,,ENCSR000EPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ENCBS033DPJ,,,,ENCSR680WMF,,,,,,,,,,,,,,,,,,ENCSR668DIS,ENCSR914RMX,,,,,ENCSR497URO,,,,,,,,,,,,,,,,,,,,,,
113,ENCBS034BMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR596NOF,,,,,,,,,,,,,,,,,,,,,,
114,ENCBS034DIU,,,,ENCSR211AFA,,,,,,,,,,,,,,,,,,ENCSR681ELN,ENCSR639RKS,,,,,ENCSR668QQL,,,,,,,,,,,,,,,,,,,,,,
115,ENCBS034DOC,,,ENCSR000BTT,,,,ENCSR000BUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000BTY,,,,ENCSR000BTU,ENCSR000BUU,,ENCSR000BSY
116,ENCBS034SKE,,,,,,ENCSR941DTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,ENCBS034UEI,,,,,,ENCSR819EPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,ENCBS034ZQP,,,,,,ENCSR774RCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,ENCBS035CTF,ENCSR392YGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,ENCBS035DRR,,,,,,,,,,,,,,,,,,,,,,,ENCSR494OXB,ENCSR717BNA,,ENCSR064VLH,,ENCSR575ICR,,,,,,,ENCSR820ABR,,,,,,,,,,,,,,,
121,ENCBS035JYQ,ENCSR487SOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,ENCBS035OSQ,,,,,,ENCSR895KTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,ENCBS035TPY,,,,,,ENCSR000ELZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,ENCBS035WEB,ENCSR251POP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ENCBS036BKD,,,,,,ENCSR401ESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,ENCBS037ALL,ENCSR587TRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,ENCBS037BYL,,,,,,ENCSR723JLG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,ENCBS037HTE,,,,,,ENCSR562FNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,ENCBS037NAC,,,,,,ENCSR000EMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,ENCBS037RPE,,,,,,,,,,,,,,,,,,,,,,ENCSR724GUS,ENCSR702RZM,ENCSR580WRV,,ENCSR887ESB,,ENCSR077FZT,,,,,,,ENCSR239SNR,,,,,,,,,,,,,,,
131,ENCBS038JHN,ENCSR376YMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
