,Experiment,Metric,Run Type,Count,Mean,Median,Std Dev,Min,Max
125,H2BK12ac,depth,,,24.326052784481412,24.32834449486527,0.4689719969318675,23.55320823176358,25.015577498551202
126,H2BK12ac,coverage,,,0.26058396719868027,0.25986138994232405,0.07607464816751855,0.14694704851029522,0.39713624289370986
127,H2BK12ac,read_length,,,35.25,36.0,1.984313483298443,30.0,36.0
128,H2BK12ac,run_type,single-ended,16.0,,,,,
129,H3K56ac,depth,,,23.705450846805725,23.839740512385582,0.7259722680438503,22.131352085723503,24.990305818472915
130,H3K56ac,coverage,,,0.2072599538704944,0.21180955081736022,0.07435087181725437,0.07621454884332832,0.3445868425458576
131,H3K56ac,read_length,,,32.4,30.0,2.9393876913398134,30.0,36.0
132,H3K56ac,run_type,single-ended,10.0,,,,,
133,H4K8ac,depth,,,23.62706979989595,23.8842183196659,1.1294982794195016,20.46897000770854,24.76743081246612
134,H4K8ac,coverage,,,0.18909214796852042,0.19780886539316045,0.07390861205983858,0.02462829890707494,0.30750997262023044
135,H4K8ac,read_length,,,34.2,36.0,2.749545416973504,30.0,36.0
136,H4K8ac,run_type,single-ended,20.0,,,,,
137,H2BK120ac,depth,,,24.018308308865453,23.926375631332515,0.8870978831307595,22.754864061374697,25.913935296568724
138,H2BK120ac,coverage,,,0.2505530488228225,0.2320960558564224,0.13381119783130527,0.11493266092005781,0.5646545540636442
139,H2BK120ac,read_length,,,34.8,36.0,2.4000000000000004,30.0,36.0
140,H2BK120ac,run_type,single-ended,15.0,,,,,
141,H2BK15ac,depth,,,24.114501120784798,24.238544687109815,0.516172468929931,23.31788414224133,24.889939067389417
142,H2BK15ac,coverage,,,0.2541977680378585,0.266619402677991,0.07733846632528546,0.15634195912467647,0.3684132309354569
143,H2BK15ac,read_length,,,35.25,36.0,1.984313483298443,30.0,36.0
144,H2BK15ac,run_type,single-ended,16.0,,,,,
145,H4K91ac,depth,,,24.125989011447864,24.20294994211266,0.5149813574438655,23.072432770133794,24.922060558868615
146,H4K91ac,coverage,,,0.231790642331167,0.2637453710545332,0.07475552150834543,0.10043063811366496,0.3221129095452277
147,H4K91ac,read_length,,,33.857142857142854,36.0,2.8749445424997293,30.0,36.0
148,H4K91ac,run_type,single-ended,14.0,,,,,
149,H3K18ac,depth,,,24.225981534424065,24.36952279789674,0.8182607661380636,22.0566754170933,25.102067088333765
150,H3K18ac,coverage,,,0.23924969029015736,0.24384918961921248,0.08063306115137428,0.07272480912859466,0.3532808474892225
151,H3K18ac,read_length,,,35.1,36.0,2.1424285285628555,30.0,36.0
152,H3K18ac,run_type,single-ended,20.0,,,,,
153,MYC,depth,,,23.42461448021225,23.420273683246485,0.9967992161620367,22.293046957196136,24.473416662087118
154,MYC,coverage,,,0.1965040967709239,0.16556668902723384,0.1101013342163693,0.08363855352185036,0.3450533156878103
155,MYC,read_length,,,34.5,35.5,2.8722813232690143,27.0,36.0
156,MYC,run_type,single-ended,8.0,,,,,
157,H3K14ac,depth,,,24.51200038731264,24.557998064195935,0.4647826017031806,23.012729894287112,24.97175429199151
158,H3K14ac,coverage,,,0.2860836659120941,0.3035804543728504,0.06272659448486236,0.11165530686564813,0.3633957331201218
159,H3K14ac,read_length,,,34.125,36.0,2.7810744326608736,30.0,36.0
160,H3K14ac,run_type,single-ended,16.0,,,,,
161,H3K23ac,depth,,,24.446738397890428,24.392286034346622,0.9041636287608905,23.34086214572087,26.549629917024987
162,H3K23ac,coverage,,,0.3054957075332171,0.28040634977203016,0.1438221875062692,0.16387750132881254,0.6624251669435832
163,H3K23ac,read_length,,,34.5,36.0,2.598076211353316,30.0,36.0
164,H3K23ac,run_type,single-ended,16.0,,,,,
165,H3K4ac,depth,,,24.3349658910755,24.171578464241776,0.47983884351604467,23.544524090008633,25.02357802082169
166,H3K4ac,coverage,,,0.27633488733744443,0.2588999674839616,0.08765013873211444,0.12967733125037575,0.3944254513011764
167,H3K4ac,read_length,,,35.0,36.0,2.23606797749979,30.0,36.0
168,H3K4ac,run_type,single-ended,18.0,,,,,
169,H3K9me1,depth,,,23.486008676037542,23.825320870337194,1.0209858339428113,21.74450580002777,24.49528017589387
170,H3K9me1,coverage,,,0.20835340927689183,0.23155804380088446,0.09389131400255368,0.06661636659404671,0.3101616178993587
171,H3K9me1,read_length,,,36.0,36.0,0.0,36.0,36.0
172,H3K9me1,run_type,single-ended,8.0,,,,,
173,YY1,depth,,,23.626182073718756,23.82865881124274,0.8558053417903178,22.189940352743303,24.87740120790528
174,YY1,coverage,,,0.2297224449638965,0.22011626741612933,0.1198470778498401,0.08258246479489109,0.42425570600057616
175,YY1,read_length,,,40.0,36.0,7.908568425793289,28.0,50.0
176,YY1,run_type,single-ended,11.0,,,,,
177,RAD21,depth,,,24.173590547016314,24.268634371337043,0.7582804295125838,22.484837395939206,25.56019517592048
178,RAD21,coverage,,,0.27127224122830346,0.2737662626277606,0.11988262255436455,0.08832355024496645,0.5491597953169696
179,RAD21,read_length,,,38.529411764705884,36.0,8.095878741381673,27.0,50.0
180,RAD21,run_type,single-ended,17.0,,,,,
181,CEBPB,depth,,,23.85858611320667,23.96044221559758,0.5763795561351339,22.32617901577958,24.51073966436669
182,CEBPB,coverage,,,0.24185132926246244,0.24657895570539928,0.08663246357917492,0.08919560989025006,0.399896324455412
183,CEBPB,read_length,,,38.75,36.0,6.94172168845741,27.0,50.0
184,CEBPB,run_type,single-ended,12.0,,,,,
185,MAX,depth,,,24.31940575582834,24.463568785764167,0.6631685985275548,22.910828251816287,25.61777220694484
186,MAX,coverage,,,0.31231778422349565,0.3132772248084564,0.12295755192116556,0.12244367361142482,0.631830802250252
187,MAX,read_length,,,40.785714285714285,36.0,8.453051616585164,27.0,50.0
188,MAX,run_type,single-ended,14.0,,,,,
189,JUND,depth,,,24.274495077876367,24.350501636605813,0.5039426144496724,23.21150484002849,25.18846219017851
190,JUND,coverage,,,0.3197122587526749,0.304981234716532,0.10423919717840027,0.13530209534248805,0.5241959765545037
191,JUND,read_length,,,41.357142857142854,36.0,7.81580032331159,27.0,50.0
192,JUND,run_type,single-ended,14.0,,,,,
193,EP300,depth,,,24.02636332358578,24.185193259473213,0.5423605961853888,22.571143187265307,24.541385986266075
194,EP300,coverage,,,0.27149213820230417,0.30354131355144975,0.06994932466150645,0.11215252850242367,0.35569529716370624
195,EP300,read_length,,,38.27272727272727,36.0,7.8403491236146685,27.0,50.0
196,EP300,run_type,single-ended,11.0,,,,,
197,H4K12ac,depth,,,23.813936886237656,23.761258835479552,0.07449801382149027,23.761258835479552,23.919292987753867
198,H4K12ac,coverage,,,0.19666937164892717,0.1831435530679224,0.019128396079454928,0.1831435530679224,0.22372100881093665
199,H4K12ac,read_length,,,36.0,36.0,0.0,36.0,36.0
200,H4K12ac,run_type,single-ended,3.0,,,,,
201,CAGE,depth,,,24.31427538584404,24.306516928965173,0.1180001299040481,24.16114072692094,24.482926958524878
202,CAGE,coverage,,,0.13592409046170886,0.11837487573479974,0.04137744427423828,0.10095360996525725,0.20599300041197868
203,CAGE,read_length,,,47.25,51.0,6.49519052838329,36.0,51.0
204,CAGE,run_type,single-ended,4.0,,,,,
205,H3T11ph,depth,,,24.75249891631753,24.75249891631753,0.0,24.75249891631753,24.75249891631753
206,H3T11ph,coverage,,,0.3882328793011797,0.3882328793011797,0.0,0.3882328793011797,0.3882328793011797
207,H3T11ph,read_length,,,36.0,36.0,0.0,36.0,36.0
208,H3T11ph,run_type,single-ended,2.0,,,,,
209,ChIA-PET,depth,,,23.843991857746914,23.843991857746914,0.0,23.843991857746914,23.843991857746914
210,ChIA-PET,coverage,,,0.143120691957925,0.143120691957925,0.0,0.143120691957925,0.143120691957925
211,ChIA-PET,read_length,,,27.0,27.0,0.0,27.0,27.0
212,ChIA-PET,run_type,single-ended,1.0,,,,,
